N,M,assumption,option,experiment,method,dgp_name,mean_rmse,sd_rmse,mean_nmse,sd_nmse,mean_mse,mean_variance
25600,25,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.7582961432658795,0.24972388723566108,0.5983751371069156,0.19104429878787638,3.1508492462869517,5.265592577725494
25600,25,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.5319780980375278,0.21102006274492557,0.06178115434062542,0.042072966695965976,0.3253036903284543,5.265592577725494
25600,50,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.2510603251305912,0.16127148069092642,0.30193060868134186,0.07777327167920946,1.589860003075892,5.265592577725494
25600,50,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.4115741334872228,0.19281426730722398,0.03888172556316799,0.03947531299208142,0.2047117419491189,5.265592577725494
25600,100,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.8859255674064433,0.10507438931325896,0.151044729468271,0.0372320147423778,0.7953527069095052,5.265592577725494
25600,100,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.30921716461771187,0.09015673949748507,0.01962541509343304,0.011884772066898842,0.10333708068719365,5.265592577725494
25600,200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.6540300463908524,0.1831691673419026,0.0872944150812383,0.04481562631266328,0.4596286982535102,5.265592577725494
25600,200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.27618576096863684,0.07865653337962808,0.015602246934647087,0.008934071021355974,0.08215608229296054,5.265592577725494
25600,400,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.41861499708940836,0.07973482711782856,0.03442710175666027,0.012670576089520423,0.18127827631089988,5.265592577725494
25600,400,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.24377273418041367,0.06643680340106127,0.012081698341611158,0.007546055256407743,0.06361830233363833,5.265592577725494
25600,800,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.3331536342967717,0.05778505999927399,0.02168121631209412,0.0072081510634250615,0.1141635015463108,5.265592577725494
25600,800,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.21439237284873683,0.027349076361578843,0.008864206946212243,0.0023497008520814216,0.046674662914651686,5.265592577725494
25600,1600,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.267617566589902,0.055131911973765525,0.014149687872785333,0.0058032795404870585,0.07450671327948949,5.265592577725494
25600,1600,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.20012609814651774,0.023451937019082263,0.0077052953754149335,0.0017527955277858462,0.04057294884179931,5.265592577725494
25600,3200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.21744800246315457,0.0341352483928166,0.009190322902173574,0.003219930530169769,0.048390588198913405,5.265592577725494
25600,3200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.18431517350931645,0.02186296267964292,0.006538059232893946,0.0015085561867354995,0.03442617286604432,5.265592577725494
