method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,lagged,power,0.205,,0.4162489649253358
DM,1,lagged,power,0.195,,0.4341439775373629
DM,2,lagged,power,0.18,,0.4800387592941274
DM,3,lagged,power,0.185,,0.4662392575730724
DM,4,lagged,power,0.14,,0.47153692614770465
Oracle,0,lagged,power,1.0,,5.814813634607141e-08
Oracle,1,lagged,power,1.0,,1.3687764886748243e-06
Oracle,2,lagged,power,1.0,,8.028261572652035e-05
Oracle,3,lagged,power,0.995,,0.00578151088631155
Oracle,4,lagged,power,0.795,,0.07343313373253493
RC,0,lagged,power,0.73,0.7538313063519037,0.10886988076298336
RC,1,lagged,power,0.73,0.7204904707048436,0.13081954865085682
RC,2,lagged,power,0.575,0.7422303974959165,0.1910105398947035
RC,3,lagged,power,0.545,0.6529108349302564,0.20748610654959584
RC,4,lagged,power,0.345,0.5544420741843861,0.2934431137724551
SS,0,lagged,power,0.62,0.6805634174514852,0.34146904998524463
SS,1,lagged,power,0.59,0.6917298386287031,0.3308477267989074
SS,2,lagged,power,0.52,0.7447946315836067,0.35184916870035343
SS,3,lagged,power,0.275,0.8914909099055939,0.42607504398277013
SS,4,lagged,power,0.13,1.3883520068129886,0.46399201596806383
cDM,0,lagged,power,0.235,,0.3174866954925763
cDM,1,lagged,power,0.195,,0.3305950899597731
cDM,2,lagged,power,0.175,,0.3978828660691876
cDM,3,lagged,power,0.16,,0.42390659155948873
cDM,4,lagged,power,0.14,,0.4612075848303393
