setting,assumption,method,stage,target,time,time_s,time_t,rmse,relative_rmse,bias,mae,corr,mean_est,mean_true,sd_est,sd_true
power,lagged,RC,moment,offdiag_all,,,,0.22849944454559282,0.6075521893968745,-0.12421934510998794,0.13090091392751016,0.9150253336268536,0.10325042080361206,0.2274697659136,0.12486058275066955,0.2995122023700268
power,lagged,RC,moment,offdiag_t2_s1,,1.0,2.0,0.044367740758861164,0.6184418958245484,-0.03188067900240028,0.03463151303336844,0.76169068367664,0.024652614463199714,0.05653329346560001,0.020404404547316114,0.04416764852654527
power,lagged,RC,moment,offdiag_t3_s1,,1.0,3.0,0.06932522226899544,0.7664954331326466,-0.046059014980503486,0.050171538672950815,0.4120859866409329,0.023674263739496503,0.06973327871999999,0.01951710927383298,0.05759739552632087
power,lagged,RC,moment,offdiag_t3_s2,,2.0,3.0,0.16476492985992958,0.6228885803618287,-0.1107000334838811,0.11484751656038666,0.8721734165110985,0.09143312235611889,0.20213315584,0.059102367354467056,0.1706214961545104
power,lagged,RC,moment,offdiag_t4_s1,,1.0,4.0,0.08524510745851757,0.8440565646437481,-0.055344091425211454,0.059291386899932866,0.1991466693311036,0.021455844677188547,0.0767999361024,0.022916971542996812,0.06558709962499108
power,lagged,RC,moment,offdiag_t4_s2,,2.0,4.0,0.20040922190066626,0.6567619390441205,-0.13081099647082645,0.1367378427998981,0.8327069199923417,0.09855545324437355,0.2293664497152,0.06314013904705151,0.20126099863498476
power,lagged,RC,moment,offdiag_t4_s3,,3.0,4.0,0.3008730411581396,0.5705487952467201,-0.19267750894173197,0.20199500111895202,0.9273811294091625,0.19985541752226801,0.392532926464,0.13643565031685637,0.35214355098631855
power,lagged,RC,moment,offdiag_t5_s1,,1.0,5.0,0.08857219966553544,0.8568686319703425,-0.05800526169306349,0.061197815602839274,0.23204699451552635,0.019728003919736517,0.07773326561280001,0.02484013381945286,0.06813471056435913
power,lagged,RC,moment,offdiag_t5_s2,,2.0,5.0,0.21356727053411087,0.6792539685246081,-0.13861534993118976,0.14542019458739405,0.8174970093750643,0.09471775020321024,0.2333331001344,0.06310471436282769,0.21074182735199112
power,lagged,RC,moment,offdiag_t5_s3,,3.0,5.0,0.32631274014449313,0.5956935687655317,-0.20588704491469445,0.21681844446411172,0.9175984951169667,0.19597917665330553,0.401866221568,0.1360895780456726,0.37225435463622103
power,lagged,RC,moment,offdiag_t5_s4,,4.0,5.0,0.4347526705327213,0.591518849924755,-0.272213470256377,0.2878978855352676,0.9346990377706652,0.26245256125722294,0.5346660315135999,0.18371786856582573,0.5043046979633511
power,lagged,RC,moment_raw,offdiag_raw_all,,,,3.8016972166896745,10.10824981223511,-0.10797943672797018,0.45439493943173803,0.11048362288442552,0.11949032918562981,0.2274697659136,3.821301828570169,0.2995122023700268
power,lagged,RC,mu,all_periods,,,,0.6217050879327651,0.09864196730249061,-0.0005007455086943582,0.2235860906571509,0.9834098971245878,5.292373416689925,5.292874162198619,3.3819150643993936,3.4218108864596903
power,lagged,RC,mu,period_1,1.0,,,0.5124568289263971,0.07715378753398927,0.0031747479990537277,0.1889474666905958,0.9896102363819,5.612346748048127,5.609172000049074,3.52138743193268,3.557188457299274
power,lagged,RC,mu,period_2,2.0,,,0.24519056866937494,0.04359745937244134,0.0025580702385226035,0.16198660378082713,0.9798994981936958,5.494197933470161,5.491639863231639,1.2110612964067915,1.2127941152120933
power,lagged,RC,mu,period_3,3.0,,,0.28379587682975344,0.05290228147413636,0.001450352081751128,0.18091195718628114,0.9107018973909448,5.3272367147690565,5.325786362687307,0.6772345114679696,0.6435696549739367
power,lagged,RC,mu,period_4,4.0,,,0.5871724591471306,0.09854184317137105,-0.00311726007472995,0.25726143666303364,0.9813998034641774,5.122574798478056,5.125692058552786,3.0095790746445177,3.0384732577238793
power,lagged,RC,mu,period_5,5.0,,,1.088053221178243,0.14214973276361914,-0.006569637788069299,0.3288229889650167,0.9827405942748457,4.905510888684221,4.912080526472289,5.785560492137172,5.870212841137995
