setting,assumption,hypothesis,lag,statistic,method,reject_rate,mean_pvalue,mean_stat,n
power,lagged,H0l,0,likelihood,RC,0.73,0.08966777408637874,5.949461639022608,100
power,lagged,H0l,0,likelihood,TWFE,0.42,0.2308388527605232,-0.5184530741999984,100
power,lagged,H0l,1,likelihood,RC,0.95,0.01893687707641196,10.747419517460907,100
power,lagged,H0l,1,likelihood,TWFE,0.26,0.3226327254888297,-0.8470970693761539,100
power,lagged,H0l,2,likelihood,RC,0.97,0.014418604651162792,13.161050231177999,100
power,lagged,H0l,2,likelihood,TWFE,0.25,0.35064111325648356,-1.193946132620826,100
power,lagged,H0l,3,likelihood,RC,0.84,0.07435215946843854,-3253.8273388977473,100
power,lagged,H0l,3,likelihood,TWFE,0.23,0.34744769824890903,-1.5620522322673154,100
power,lagged,H0l,4,likelihood,RC,0.69,0.1318936877076412,-10636.124262845184,100
power,lagged,H0l,4,likelihood,TWFE,0.27,0.32015032878415445,-2.0549958190764737,100
