setting,assumption,hypothesis,source_t,statistic,method,reject_rate,mean_pvalue,mean_stat,n
power,static,H0,1,likelihood,RV,0.54,0.1893687707641196,0.6226418859085117,100
power,static,H0,1,likelihood,TWFE,0.27,0.36724803400165384,-0.31883941716951564,100
power,static,H0,2,likelihood,RV,0.42,0.24451827242524918,1.2321246208338235,100
power,static,H0,2,likelihood,TWFE,0.27,0.36724803400165384,-0.31883941716951564,100
power,static,H0,3,likelihood,RV,0.48,0.2240531561461794,0.805602140075071,100
power,static,H0,3,likelihood,TWFE,0.27,0.36724803400165384,-0.31883941716951564,100
power,static,H0,4,likelihood,RV,0.62,0.1807641196013289,1.021680785778741,100
power,static,H0,4,likelihood,TWFE,0.27,0.36724803400165384,-0.31883941716951564,100
power,static,H0,5,likelihood,RV,0.47,0.23990033222591362,0.5791690203969093,100
power,static,H0,5,likelihood,TWFE,0.27,0.36724803400165384,-0.31883941716951564,100
